recipeTitle,coverImageUrl,categoryName,description
Pasta Bolognese,/images/pasta_bolognese.jpg,"avondeten;Italiaans;pasta","Een klassieke Italiaanse pasta met rijke tomatensaus"
Groenteburger,/images/groenteburger.jpg,"avondeten;vegetarisch","Vegetarische burger met veel groenten"
Vegan Lasagna Bolognese,/images/vegetarische-lasagne.jpg,"avondeten;veganistisch","Lasagna zonder vlees, volledig plantaardig"
Risotto Funghi,/images/risotto_funghi.jpg,"avondeten;italiaans;vegetarisch","Romige risotto met champignons"
Chili Sin Carne,/images/chili_sin_carne.jpg,"avondeten;veganistisch;wereldkeuken","Pittige bonenschotel zonder vlees"
Caprese Salade,/images/caprese.jpg,"italiaans;vegetarisch;snack","Frisse salade met mozzarella en basilicum"
Pad Thai,/images/pad_thai.jpg,"avondeten;wereldkeuken","Thaise noedels met groenten en pinda’s"
Shakshuka,/images/shakshuka.jpg,"avondeten;wereldkeuken;vegetarisch","Tomatensaus met gepocheerde eieren"
Falafel Wrap,/images/falafel_wrap.jpg,"avondeten;veganistisch;wereldkeuken","Wrap gevuld met falafel en hummus"
Pizza Margherita,/images/pizza_margherita.jpg,"italiaans;comfortfood;vegetarisch","Klassieke pizza met mozzarella en basilicum"
Curry met Kikkererwten,/images/curry_kikkererwten.jpg,"avondeten;wereldkeuken;veganistisch","Indiase curry met kikkererwten en kokosmelk"
Gnocchi met Pesto,/images/gnocchi_pesto.jpg,"italiaans;pasta;vegetarisch","Zachte gnocchi met huisgemaakte pesto"
Tomatensoep,/images/tomatensoep.jpg,"soep;comfortfood;vegetarisch","Romige tomatensoep met basilicum"
Pannenkoeken,/images/pannenkoeken.jpg,"ontbijt;comfortfood","Luchtige pannenkoeken voor ontbijt of lunch"
